datetime,portfolio_value,cash,return
2021-12-15 09:30:00-05:00,100000.0,100000.0,
2021-12-16 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-17 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-18 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-20 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-21 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-22 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-23 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-24 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-27 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-28 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-29 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-30 09:30:00-05:00,100000.0,100000.0,0.0
2021-12-31 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-01 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-04 09:30:00-05:00,99693.39859008789,150011.49871826172,-0.003066014099121106
2022-01-05 09:30:00-05:00,99909.69833374023,150011.49871826172,0.0021696496128265075
2022-01-06 09:30:00-05:00,100883.04718017578,150011.49871826172,0.009742285910864679
2022-01-07 09:30:00-05:00,100876.74743652344,150011.49871826172,-6.244600880356277e-05
2022-01-08 09:30:00-05:00,100876.74743652344,150011.49871826172,0.0
2022-01-10 09:30:00-05:00,101427.99743652344,150011.49871826172,0.0054645893529317036
2022-01-11 09:30:00-05:00,101162.34756469727,150011.49871826172,-0.002619098065033021
2022-01-12 09:30:00-05:00,100494.5491027832,150011.49871826172,-0.006601255091346903
2022-01-13 09:30:00-05:00,100431.54846191406,150011.49871826172,-0.0006269060504436874
2022-01-14 09:30:00-05:00,101586.54846191406,150011.49871826172,0.011500370328731968
2022-01-15 09:30:00-05:00,101586.54846191406,225185.46911621094,0.0
2022-01-18 09:30:00-05:00,101975.15173339844,225185.46911621094,0.003825341813144423
2022-01-19 09:30:00-05:00,102406.62780761719,225185.46911621094,0.004231188352107562
2022-01-20 09:30:00-05:00,103580.46911621094,225185.46911621094,0.011462552119174907
2022-01-21 09:30:00-05:00,105775.38977050781,225185.46911621094,0.021190487676149727
2022-01-22 09:30:00-05:00,105775.38977050781,337912.14849853516,0.0
2022-01-24 09:30:00-05:00,112824.51913452148,337912.14849853516,0.06664243336098874
2022-01-25 09:30:00-05:00,112287.88977050781,337912.14849853516,-0.0047563186453633
2022-01-26 09:30:00-05:00,108297.02786254883,337912.14849853516,-0.03554133857280106
2022-01-27 09:30:00-05:00,109578.68341064453,337912.14849853516,0.011834632707763637
2022-01-28 09:30:00-05:00,112485.87231445312,337912.14849853516,0.02653060625773307
2022-01-29 09:30:00-05:00,112485.87231445312,337912.14849853516,0.0
2022-01-31 09:30:00-05:00,108026.11358642578,337912.14849853516,-0.0396472786872305
2022-02-01 09:30:00-05:00,103107.87231445312,337912.14849853516,-0.04552826264584475
2022-02-02 09:30:00-05:00,100596.64849853516,337912.14849853516,-0.02435530633644889
2022-02-03 09:30:00-05:00,102967.19213867188,337912.14849853516,0.023564837154303797
2022-02-04 09:30:00-05:00,105363.79531860352,337912.14849853516,0.023275405788515613
2022-02-05 09:30:00-05:00,105363.79531860352,337912.14849853516,0.0
2022-02-07 09:30:00-05:00,103717.43341064453,337912.14849853516,-0.015625499280665145
2022-02-08 09:30:00-05:00,105165.8127746582,337912.14849853516,0.013964666463343267
2022-02-09 09:30:00-05:00,100742.52786254883,337912.14849853516,-0.04206010294987472
2022-02-10 09:30:00-05:00,102764.01040649414,337912.14849853516,0.02006583105303239
2022-02-11 09:30:00-05:00,103769.53659057617,337912.14849853516,0.009784808709825121
2022-02-12 09:30:00-05:00,103769.53659057617,337912.14849853516,0.0
2022-02-14 09:30:00-05:00,108713.82150268555,337912.14849853516,0.047646786085371984
