time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-03 09:30:00-05:00,MLTrader,ca0cba3130b243879d36ed3a356c99c9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,ca0cba3130b243879d36ed3a356c99c9,SPY,sell,market,fill,1,gtc,0.0,1,stock,476.29998779296875,105,0.0
2022-01-14 09:30:00-05:00,MLTrader,6977953f52a140b68a253c6163352194,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-14 09:30:00-05:00,MLTrader,6977953f52a140b68a253c6163352194,SPY,sell,market,fill,1,gtc,0.0,1,stock,461.19000244140625,163,0.0
2022-01-21 09:30:00-05:00,MLTrader,bd114f2f873c4119bfc9bf610e6682ef,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,bd114f2f873c4119bfc9bf610e6682ef,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,253,0.0
2022-02-18 09:30:00-05:00,MLTrader,6c65c1b942a24eecb9568227d3b3764e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-02-18 09:30:00-05:00,MLTrader,6c65c1b942a24eecb9568227d3b3764e,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.3299865722656,386,0.0
2022-03-04 09:30:00-05:00,MLTrader,2415af4bffa94885adfffc8e88bc5d08,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,2415af4bffa94885adfffc8e88bc5d08,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,587,0.0
2022-03-14 09:30:00-04:00,MLTrader,4413a6ea00754c399de70a534c923287,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-14 09:30:00-04:00,MLTrader,4413a6ea00754c399de70a534c923287,SPY,sell,market,fill,1,gtc,0.0,1,stock,419.7699890136719,905,0.0
2022-03-16 09:30:00-04:00,MLTrader,94936fca88054f6692ce42e4c85097d2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-16 09:30:00-04:00,MLTrader,eaf394ec8b804c07b2d4f67795299a40,SPY,buy,stop,fill,1,day,0.0,1,stock,440.7584884643555,905,0.0
2022-03-18 09:30:00-04:00,MLTrader,bc41c7912e914a39b9f2ca7f7616d2bb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,bc41c7912e914a39b9f2ca7f7616d2bb,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,846,0.0
2022-03-24 09:30:00-04:00,MLTrader,1ab658e9dc7b4743a309169ab4852bf8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,1ab658e9dc7b4743a309169ab4852bf8,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,1232,0.0
2022-03-28 08:30:00-04:00,MLTrader,319cfea16f364004a0532ed6ab9d6cee,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,43c6f663386542cdb3c0517cfba159b4,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,386,0.0
2022-03-28 08:30:00-04:00,MLTrader,cd781f8d0dd0495fb4f6ab6e30a20606,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,16194e7e6cca49dc8ba49b5b753901cc,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,587,0.0
2022-03-28 08:30:00-04:00,MLTrader,28ec9e1dc1274836bd133d312c2ed475,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,7b2d3956c21d4b0b9280bc6ac2fc2d20,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,846,0.0
2022-04-19 09:30:00-04:00,MLTrader,83ecb25bbdfd49ef87fc2cc05d2f5a99,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-19 09:30:00-04:00,MLTrader,83ecb25bbdfd49ef87fc2cc05d2f5a99,SPY,sell,market,fill,1,gtc,0.0,1,stock,446.9200134277344,929,0.0
2022-04-21 09:30:00-04:00,MLTrader,e9d38b61dbf84bd3895216571dfa64be,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-21 09:30:00-04:00,MLTrader,e9d38b61dbf84bd3895216571dfa64be,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,1426,0.0
2022-04-22 09:30:00-04:00,MLTrader,ecef4c397ed44e2d97ad7b2c01ac4654,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,ecef4c397ed44e2d97ad7b2c01ac4654,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,2139,0.0
2022-04-26 09:30:00-04:00,MLTrader,30b207868c104d438a323c27d3eea584,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-26 09:30:00-04:00,MLTrader,30b207868c104d438a323c27d3eea584,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,3360,0.0
2022-04-27 09:30:00-04:00,MLTrader,094c46b6a8ec428daed2dbe59f57fcf2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,094c46b6a8ec428daed2dbe59f57fcf2,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,4979,0.0
2022-04-28 09:30:00-04:00,MLTrader,37ebdc0d6bf94ed7ab9bc3bc5b738dc6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,37ebdc0d6bf94ed7ab9bc3bc5b738dc6,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,7446,0.0
2022-04-29 09:30:00-04:00,MLTrader,1772770b0e0a4720af69cf693f6f1532,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,84a1a712cd1147209c13bc8b76dd7b22,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,3c10ddd89b8b4299ad3cb22dafd4569d,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,e3ccc1635c7642baa07ba33f0716f8b3,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,4d12513ae695414aadc08ed3eeec9331,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,c6d91be53b78478a9938cc16a409a225,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,32edf753f93148f3a08a87bbe62731c0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
