2024-04-06 21:35:27,432: asyncio: INFO: [MLTrader] Executing the initialize lifecycle method
2024-04-06 21:35:28,515: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-04-06 21:35:28,517: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-04-06 21:35:28,518: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-04-06 21:35:28,518: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-04-06 21:35:28,519: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-04-06 21:35:28[0m
2024-04-06 21:35:28,519: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-06 21:35:28,527: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-04-06 21:35:28,528: asyncio: INFO: [MLTrader] [31mAn error occurred during the on_trading_iteration lifecycle method: 'MLTrader' object has no attribute 'get_news'[0m
2024-04-06 21:35:28,528: asyncio: INFO: [MLTrader] [31mTraceback (most recent call last):
  File "/Users/matthewhaines/anaconda3/lib/python3.11/site-packages/lumibot/strategies/strategy_executor.py", line 369, in _on_trading_iteration
    on_trading_iteration()
  File "/Users/matthewhaines/anaconda3/lib/python3.11/site-packages/lumibot/tools/decorators.py", line 62, in func_output
    frame, result = call_function_get_frame(func_input, *args, **kwargs)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/matthewhaines/anaconda3/lib/python3.11/site-packages/lumibot/tools/decorators.py", line 30, in call_function_get_frame
    result = func(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/matthewhaines/z_code/tradebot/tradingbot.py", line 57, in on_trading_iteration
    news = self.get_news()
           ^^^^^^^^^^^^^
AttributeError: 'MLTrader' object has no attribute 'get_news'
[0m
2024-04-06 21:35:28,528: asyncio: INFO: [MLTrader] Executing the on_bot_crash event method
2024-04-06 21:35:28,529: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-04-06 21:35:28,530: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-04-06 21:35:28,530: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-04-06 21:35:28,531: asyncio: INFO: [MLTrader] [34mThe market is not currently open, skipping this trading iteration[0m
2024-04-06 21:35:28,532: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-04-06 21:35:28,533: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-04-06 21:35:28,533: asyncio: INFO: [MLTrader] Executing the after_market_closes lifecycle method
2024-04-06 21:35:28,534: root: INFO: Current backtesting datetime 2023-12-18 08:30:00-05:00
2024-04-06 21:35:28,535: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-04-06 21:35:28,536: root: INFO: Current backtesting datetime 2023-12-18 09:30:00-05:00
