time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MLTrader,aac855938a4b476b829e4b13c07e42ec,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,aac855938a4b476b829e4b13c07e42ec,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128,0.0
2023-02-01 09:30:00-05:00,MLTrader,1cd4f256d5c34ac98876dce32607e5ec,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,e2943f3790a44d3f81462449a38499dd,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128,0.0
2023-02-13 09:30:00-05:00,MLTrader,6dbf51483873481e847700d0f7e4047b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,MLTrader,6dbf51483873481e847700d0f7e4047b,SPY,sell,market,fill,1,gtc,0.0,1,stock,408.7200012207031,119,0.0
2023-02-23 09:30:00-05:00,MLTrader,c47b3b69f95649d0b1fd7e63dbe8022a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,MLTrader,c47b3b69f95649d0b1fd7e63dbe8022a,SPY,sell,market,fill,1,gtc,0.0,1,stock,401.55999755859375,182,0.0
2023-02-27 09:30:00-05:00,MLTrader,b648e1cab054404b85529b5b4467c006,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-27 09:30:00-05:00,MLTrader,b648e1cab054404b85529b5b4467c006,SPY,sell,market,fill,1,gtc,0.0,1,stock,399.8699951171875,274,0.0
2023-02-28 09:30:00-05:00,MLTrader,6fca561ff9e24f9e9073cd02c2fc5937,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-28 09:30:00-05:00,MLTrader,6fca561ff9e24f9e9073cd02c2fc5937,SPY,sell,market,fill,1,gtc,0.0,1,stock,397.2300109863281,414,0.0
2023-03-01 09:30:00-05:00,MLTrader,b7d0c32707db4161a92a14ccce8f3282,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-01 09:30:00-05:00,MLTrader,b7d0c32707db4161a92a14ccce8f3282,SPY,sell,market,fill,1,gtc,0.0,1,stock,395.4100036621094,624,0.0
2023-03-08 09:30:00-05:00,MLTrader,b9e1d76c5b574e708300bfb19ac5a438,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-08 09:30:00-05:00,MLTrader,b9e1d76c5b574e708300bfb19ac5a438,SPY,sell,market,fill,1,gtc,0.0,1,stock,398.3900146484375,929,0.0
2023-03-09 09:30:00-05:00,MLTrader,302e344764214cb5bcd13fac834260af,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,1b47322203fd499b996c6e79a6146d7d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,6386f15a97d6444d9a2b162628438251,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,2dd0a8813f074ea28e9ab9af3058cd9b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,3ee4c3608c894bc481f78bd2988d404b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,effd2833105742ac9a97f9d2f2f271ff,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,74893b929270493aa25b8b1e35aaeb24,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,255c28f5df484ea4b6f9ecc88fe92bfd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,03fb2d35d9b2418092d74e640436d88f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,39565d71a5d744fc83faad2559ecab32,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,fbb2eddbe0384ffe92f21179c05253b6,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,806a020c76a4490999a9ca25ddee3fa6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,fe166e27ca094362a8afb9c7ec5c55e1,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,94e613fda14c44b7b3b03069c4791682,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,fe166e27ca094362a8afb9c7ec5c55e1,SPY,buy,market,fill,1,day,0.0,1,stock,399.739990234375,2542.0,0.0
2023-03-09 09:30:00-05:00,MLTrader,94e613fda14c44b7b3b03069c4791682,SPY,buy,market,fill,1,gtc,0.0,1,stock,399.739990234375,1389,0.0
