time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MLTrader,020938dd7e2c408f929893229d9a1ace,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,020938dd7e2c408f929893229d9a1ace,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128,0.0
2023-02-01 09:30:00-05:00,MLTrader,00b2ab9dc38c495ab7db3b809c445a0e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,5e01364e2a1d4442a5b09f5cc2eb16e6,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128,0.0
2023-04-10 09:30:00-04:00,MLTrader,7f3e7136a4084ae0aa20482a24070d67,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,7f3e7136a4084ae0aa20482a24070d67,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,119,0.0
2023-06-06 09:30:00-04:00,MLTrader,7003c7f7521745f7be54f21cc2021889,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,2d10753d20354323868fe86c4a7720d0,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,6eb93bec517846e09dc338a6fbbccd7b,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,955c9c2ba28f4f57a25c38880deeb119,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,6eb93bec517846e09dc338a6fbbccd7b,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,119.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,955c9c2ba28f4f57a25c38880deeb119,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,171,0.0
2023-06-12 09:30:00-04:00,MLTrader,a5bf634e28b54f36802db86d5baaa1ca,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,3d2571e7c0e94707bb316213cdfefe40,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,4fd77c76dbf74008ad3a2a326a500b61,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,e0b51995eb8a4756aa41657aaf74db54,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,4fd77c76dbf74008ad3a2a326a500b61,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,171.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,e0b51995eb8a4756aa41657aaf74db54,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,25,0.0
2023-06-29 09:30:00-04:00,MLTrader,48209e171e314dafbf00a1adafa7d6d0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,48209e171e314dafbf00a1adafa7d6d0,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,122,0.0
2023-07-26 09:30:00-04:00,MLTrader,3d417c1bf8c2450fa8d037134c7737c4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,6d5d03a9a02245c686880aa9a7cf5d90,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,25,0.0
2023-08-01 09:30:00-04:00,MLTrader,e0f7d81679b14548bf53b310ae473410,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,e0f7d81679b14548bf53b310ae473410,SPY,sell,market,fill,1,gtc,0.0,1,stock,453.25,165,0.0
2023-08-11 09:30:00-04:00,MLTrader,ed68e3a799604c788819f856a2574eda,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,ed68e3a799604c788819f856a2574eda,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,253,0.0
2023-08-21 09:30:00-04:00,MLTrader,f40b4c6af7dc49388ce39f49fb5f4542,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,f40b4c6af7dc49388ce39f49fb5f4542,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.17999267578125,382,0.0
2023-09-08 09:30:00-04:00,MLTrader,ad3a8f1eea924a2f87cc503a54b62b56,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,ad3a8f1eea924a2f87cc503a54b62b56,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,568,0.0
